#,Company,Symbol,Portfolio%,Price,Chg,% Chg
1,Microsoft Corp,MSFT,8.88%,429.55,4.31,(1.01%)
2,Apple Inc,AAPL,7.71%,171.66,-7.01,(-3.92%)
3,NVIDIA Corp,NVDA,6.34%,912.58,8.86,(0.98%)
4,Amazon.com Inc,AMZN,5.18%,178.29,0.13,(0.08%)
5,Meta Platforms Inc,META,4.92%,508.61,3.09,(0.61%)
6,Broadcom Inc,AVGO,4.18%,"1,350.03",74.03,(5.80%)
7,Alphabet Inc,GOOGL,2.46%,147.58,-1.16,(-0.78%)
8,Costco Wholesale Corp,COST,2.38%,743.49,2.77,(0.37%)
9,Alphabet Inc,GOOG,2.38%,148.71,-0.97,(-0.65%)
10,Tesla Inc,TSLA,2.34%,172.97,-2.69,(-1.53%)
11,Advanced Micro Devices Inc,AMD,2.15%,178.52,-1.21,(-0.67%)
12,Netflix Inc,NFLX,1.97%,623.75,-3.94,(-0.63%)
13,PepsiCo Inc,PEP,1.73%,172.75,0.89,(0.52%)
14,Adobe Inc,ADBE,1.73%,511.65,-7.49,(-1.44%)
15,Linde PLC,LIN,1.65%,470.09,3.30,(0.71%)
16,Cisco Systems Inc,CSCO,1.46%,49.89,0.34,(0.69%)
17,T-Mobile US Inc,TMUS,1.40%,161.27,0.11,(0.07%)
18,QUALCOMM Inc,QCOM,1.34%,170.84,3.17,(1.89%)
19,Intel Corp,INTC,1.30%,42.44,0.23,(0.56%)
20,Intuit Inc,INTU,1.30%,653.15,13.50,(2.11%)
21,Comcast Corp,CMCSA,1.25%,42.93,-0.18,(-0.41%)
22,Applied Materials Inc,AMAT,1.23%,211.10,6.04,(2.95%)
23,Texas Instruments Inc,TXN,1.11%,172.84,2.86,(1.68%)
24,Amgen Inc,AMGN,1.07%,278.60,5.55,(2.03%)
25,Intuitive Surgical Inc,ISRG,1.01%,389.01,-1.37,(-0.35%)
26,Honeywell International Inc,HON,0.95%,201.70,0.51,(0.26%)
27,Lam Research Corp,LRCX,0.89%,984.11,35.03,(3.69%)
28,Booking Holdings Inc,BKNG,0.88%,"3,614.54",36.05,(1.01%)
29,Vertex Pharmaceuticals Inc,VRTX,0.79%,416.48,4.37,(1.06%)
30,Regeneron Pharmaceuticals Inc,REGN,0.76%,978.12,11.16,(1.15%)
31,Micron Technology Inc,MU,0.76%,109.80,13.55,(14.08%)
32,Starbucks Corp,SBUX,0.76%,91.89,-0.71,(-0.77%)
33,Automatic Data Processing Inc,ADP,0.73%,249.29,1.56,(0.63%)
34,Mondelez International Inc,MDLZ,0.71%,72.09,0.22,(0.31%)
35,Analog Devices Inc,ADI,0.69%,197.08,2.75,(1.42%)
36,KLA Corp,KLAC,0.67%,714.05,18.10,(2.60%)
37,Gilead Sciences Inc,GILD,0.67%,73.19,-0.80,(-1.07%)
38,Palo Alto Networks Inc,PANW,0.66%,287.10,5.05,(1.79%)
39,Synopsys Inc,SNPS,0.65%,608.10,18.32,(3.11%)
40,PDD Holdings Inc ADR,PDD,0.62%,122.62,-9.55,(-7.23%)
41,Cadence Design Systems Inc,CDNS,0.62%,324.50,7.63,(2.41%)
42,ASML Holding NV,ASML,0.60%,993.22,22.30,(2.30%)
43,MercadoLibre Inc,MELI,0.56%,"1,556.39",27.55,(1.80%)
44,Crowdstrike Holdings Inc,CRWD,0.54%,329.98,3.11,(0.95%)
45,CSX Corp,CSX,0.53%,37.93,0.32,(0.85%)
46,Marriott International Inc/MD,MAR,0.53%,255.93,1.88,(0.74%)
47,Airbnb Inc,ABNB,0.52%,168.55,3.84,(2.33%)
48,PayPal Holdings Inc,PYPL,0.49%,66.19,1.14,(1.74%)
49,O'Reilly Automotive Inc,ORLY,0.49%,"1,160.00",14.71,(1.28%)
50,Cintas Corp,CTAS,0.47%,642.65,7.66,(1.21%)
51,PACCAR Inc,PCAR,0.46%,124.75,3.30,(2.71%)
52,Monster Beverage Corp,MNST,0.46%,60.05,-0.09,(-0.15%)
53,NXP Semiconductors NV,NXPI,0.44%,249.52,8.25,(3.42%)
54,Roper Technologies Inc,ROP,0.43%,557.10,3.04,(0.55%)
55,Workday Inc,WDAY,0.42%,275.80,-0.61,(-0.22%)
56,Lululemon Athletica Inc,LULU,0.41%,428.56,-40.50,(-8.63%)
57,Marvell Technology Inc,MRVL,0.41%,66.69,1.14,(1.75%)
58,Autodesk Inc,ADSK,0.40%,265.44,3.00,(1.15%)
59,Constellation Energy Corp,CEG,0.40%,174.56,-1.16,(-0.66%)
60,Copart Inc,CPRT,0.40%,57.50,0.60,(1.05%)
61,Fortinet Inc,FTNT,0.38%,68.80,0.93,(1.36%)
62,Dexcom Inc,DXCM,0.38%,134.24,1.71,(1.29%)
63,Ross Stores Inc,ROST,0.36%,147.61,0.63,(0.43%)
64,DoorDash Inc,DASH,0.36%,137.27,-0.64,(-0.46%)
65,Microchip Technology Inc,MCHP,0.35%,89.05,0.71,(0.80%)
66,Old Dominion Freight Line Inc,ODFL,0.34%,447.99,13.73,(3.16%)
67,IDEXX Laboratories Inc,IDXX,0.33%,548.52,19.01,(3.59%)
68,American Electric Power Co Inc,AEP,0.32%,83.24,0.39,(0.46%)
69,Paychex Inc,PAYX,0.32%,122.67,-0.33,(-0.27%)
70,Fastenal Co,FAST,0.32%,78.72,1.06,(1.36%)
71,Charter Communications Inc,CHTR,0.32%,293.95,-1.35,(-0.46%)
72,Kraft Heinz Co/The,KHC,0.31%,35.50,0.15,(0.44%)
73,GE HealthCare Technologies Inc,GEHC,0.30%,91.85,0.95,(1.05%)
74,Keurig Dr Pepper Inc,KDP,0.30%,29.72,0.00,(0.02%)
75,Moderna Inc,MRNA,0.29%,104.70,1.62,(1.57%)
76,CoStar Group Inc,CSGP,0.28%,97.73,1.42,(1.47%)
77,AstraZeneca PLC ADR,AZN,0.28%,66.41,0.68,(1.03%)
78,Datadog Inc,DDOG,0.27%,123.94,0.50,(0.41%)
79,Cognizant Technology Solutions Corp,CTSH,0.27%,72.44,-2.71,(-3.60%)
80,Exelon Corp,EXC,0.27%,37.13,0.56,(1.55%)
81,Electronic Arts Inc,EA,0.26%,133.41,1.09,(0.83%)
82,Trade Desk Inc/The,TTD,0.26%,85.28,1.81,(2.17%)
83,Diamondback Energy Inc,FANG,0.25%,194.83,1.92,(1.00%)
84,Verisk Analytics Inc,VRSK,0.25%,236.39,-0.01,(-0.00%)
85,CDW Corp/DE,CDW,0.24%,255.28,4.47,(1.78%)
86,Baker Hughes Co,BKR,0.24%,33.43,0.04,(0.12%)
87,Coca-Cola Europacific Partners PLC,CCEP,0.24%,71.61,-0.18,(-0.25%)
88,Biogen Inc,BIIB,0.23%,221.64,3.49,(1.60%)
89,ON Semiconductor Corp,ON,0.23%,75.95,0.38,(0.50%)
90,Atlassian Corp,TEAM,0.23%,197.30,1.07,(0.55%)
91,ANSYS Inc,ANSS,0.22%,351.64,8.31,(2.42%)
92,Xcel Energy Inc,XEL,0.21%,52.49,-0.09,(-0.18%)
93,Zscaler Inc,ZS,0.21%,198.29,0.99,(0.50%)
94,GLOBALFOUNDRIES Inc,GFS,0.21%,52.78,0.34,(0.64%)
95,Dollar Tree Inc,DLTR,0.20%,126.18,-1.92,(-1.50%)
96,MongoDB Inc,MDB,0.19%,360.65,1.58,(0.44%)
97,Take-Two Interactive Software Inc,TTWO,0.18%,153.63,5.19,(3.50%)
98,Illumina Inc,ILMN,0.16%,138.50,5.31,(3.99%)
99,Warner Bros Discovery Inc,WBD,0.15%,8.74,-0.00,(-0.02%)
100,Walgreens Boots Alliance Inc,WBA,0.13%,20.78,-0.31,(-1.47%)
101,Sirius XM Holdings Inc,SIRI,0.11%,3.90,0.02,(0.65%)
